Code_secteur_D;Pop_Sum;missing
"245852";"2599.0";0
"245853";"1040.0";0
"245854";"1146.0";0
"245855";"586.0";0
"245856";"938.0";0
"245857";"887.0";0
"245858";"10672.0";0
"245859";"2719.0";0
"245860";"3409.0";0
"245951";"3656.0";0
"245952";"871.0";0
"245953";"1393.0";0
"245954";"2032.0";0
"245955";"1369.0";0
"245956";"1623.0";0
"245957";"1482.0";0
"245958";"1702.0";0
"245959";"903.0";0
"246051";"5045.0";0
"246052";"671.0";0
"246053";"1051.0";0
"246054";"1010.0";0
"246055";"1258.0";0
"246056";"650.0";0
"246057";"1072.0";0
"246058";"748.0";0
"246151";"5663.0";0
"246152";"1326.0";0
"246153";"921.0";0
"246154";"268.0";0
"246155";"661.0";0
"315151";"8283.0";0
"315152";"4664.0";0
"315153";"5670.0";0
"315154";"2619.0";0
"315155";"10984.0";0
"315254";"18589.0";0
"315255";"30047.0";0
"315256";"22828.0";0
"315351";"17217.0";0
"315352";"11397.0";0
"315353";"19801.0";0
"315354";"16282.0";0
"315355";"7522.0";0
"315356";"25316.0";0
"315451";"20751.0";0
"315452";"20068.0";0
"315453";"12100.0";0
"315454";"4772.0";0
"315551";"10596.0";0
"315552";"3335.0";0
"315553";"13671.0";0
"315554";"14039.0";0
"315555";"7258.0";0
"315651";"12882.0";0
"315652";"9829.0";0
"315653";"7741.0";0
"315654";"4156.0";0
"315655";"865.0";0
"315656";"3701.0";0
"315751";"14844.0";0
"315752";"11236.0";0
"315753";"19852.0";0
"315754";"14654.0";0
"315755";"4400.0";0
"315756";"2122.0";0
"315851";"10464.0";0
"315852";"1949.0";0
"315853";"1913.0";0
"315854";"1256.0";0
"315855";"1265.0";0
"315856";"2044.0";0
"315857";"1756.0";0
"315951";"6577.0";0
"315952";"1945.0";0
"315953";"2130.0";0
"316051";"12268.0";0
"316052";"2898.0";0
"316053";"3806.0";0
"316054";"6558.0";0
"316055";"4988.0";0
"316056";"3843.0";0
"316057";"672.0";0
"316058";"2295.0";0
"316059";"2675.0";0
"316060";"4652.0";0
"316061";"6930.0";0
"316062";"3630.0";0
"316063";"3398.0";0
"316151";"13364.0";0
"316152";"1477.0";0
"316153";"3002.0";0
"316154";"4555.0";0
"316155";"2833.0";0
"316156";"3256.0";0
"316157";"1310.0";0
"316158";"2197.0";0
"316159";"4100.0";0
"316251";"5117.0";0
"316252";"1066.0";0
"316253";"1384.0";0
"316254";"2442.0";0
"316255";"1527.0";0
"316256";"1006.0";0
"316257";"2949.0";0
"316351";"2448.0";0
"316352";"2476.0";0
"316353";"2895.0";0
"316354";"1886.0";0
"316355";"2226.0";0
"316356";"2577.0";0
"316451";"5662.0";0
"316452";"2751.0";0
"316453";"8930.0";0
"316454";"2807.0";0
"316455";"8871.0";0
"316456";"3817.0";0
"316457";"5231.0";0
"316458";"5149.0";0
"316459";"5620.0";0
"316460";"6207.0";0
"316461";"6201.0";0
"316462";"1762.0";0
"316463";"2954.0";0
"316464";"3031.0";0
"316465";"2466.0";0
"316466";"10970.0";0
"316467";"14883.0";0
"316551";"20804.0";0
"316552";"10031.0";0
"316553";"11144.0";0
"316554";"3195.0";0
"316555";"569.0";0
"316651";"33633.0";0
"316652";"13093.0";0
"316653";"2404.0";0
"325151";"5851.0";0
"325152";"13363.0";0
"325153";"15089.0";0
"325154";"7977.0";0
"325155";"20089.0";0
"325156";"12818.0";0
"325157";"22270.0";0
"325158";"6687.0";0
"325159";"5940.0";0
"325251";"9572.0";0
"325252";"10826.0";0
"325253";"1172.0";0
"325254";"523.0";0
"325255";"597.0";0
"325351";"9184.0";0
"325352";"9762.0";0
"325353";"7383.0";0
"325354";"4142.0";0
"325355";"2014.0";0
"325451";"1725.0";0
"325452";"5231.0";0
"325453";"6647.0";0
"325454";"8296.0";0
"325455";"8833.0";0
"325551";"6035.0";0
"325552";"3082.0";0
"325553";"1796.0";0
"325554";"1021.0";0
"325555";"3296.0";0
"325651";"10291.0";0
"325652";"12639.0";0
"325653";"12209.0";0
"325654";"17849.0";0
"325655";"8050.0";0
"325656";"1396.0";0
"325657";"6135.0";0
"325658";"1108.0";0
"325659";"1481.0";0
"325751";"5527.0";0
"325752";"6749.0";0
"325753";"4388.0";0
"325754";"13716.0";0
"325755";"3797.0";0
"325756";"1899.0";0
"325851";"13215.0";0
"325852";"7757.0";0
"325853";"3602.0";0
"325854";"18110.0";0
"325855";"8843.0";0
"325856";"9768.0";0
"325857";"4563.0";0
"325858";"3879.0";0
"325859";"4483.0";0
"325860";"6074.0";0
"325861";"9893.0";0
"325862";"4045.0";0
"325863";"3423.0";0
"325951";"8567.0";0
"325952";"6973.0";0
"325953";"669.0";0
"325954";"2882.0";0
"326051";"7624.0";0
"326052";"6036.0";0
"326053";"9422.0";0
"326054";"10999.0";0
"326055";"6968.0";0
"326151";"13992.0";0
"326152";"16622.0";0
"326153";"10349.0";0
"326154";"14542.0";0
"326251";"13867.0";0
"326252";"9273.0";0
"326253";"8360.0";0
"326254";"7864.0";0
"326255";"1711.0";0
"326351";"5988.0";0
"326352";"7366.0";0
"326353";"6104.0";0
"326354";"7481.0";0
"335151";"3299.0";0
"335152";"4926.0";0
"335153";"4865.0";0
"335156";"2952.0";0
"335157";"4438.0";0
"335158";"3413.0";0
"335159";"16753.0";0
"335160";"4955.0";0
"335161";"14408.0";0
"335162";"8194.0";0
"335163";"3964.0";0
"335164";"2337.0";0
"335251";"4520.0";0
"335252";"2808.0";0
"335253";"8070.0";0
"335254";"2429.0";0
"335255";"4552.0";0
"335256";"3705.0";0
"335257";"6191.0";0
"335258";"2869.0";0
"335259";"1945.0";0
"335351";"5605.0";0
"335352";"2230.0";0
"335353";"2504.0";0
"335354";"2722.0";0
"335355";"5909.0";0
"335356";"1216.0";0
